# Annotation claims. One row per explained location.
# image<TAB>kind<TAB>addr<TAB>name<TAB>where-it-is-established
#
# A row here is a CLAIM that the location is understood, checkable against
# the document in the last column. Do not add a row because an address is
# mentioned somewhere -- only because its meaning is established there.
#
# Seeded 2026-07-29 with the IRAM work of that day and nothing else. The
# low score is the honest starting point, not a bug.
rev20	irambyte	0x20	previous P3 sample (button edge detect)	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambyte	0x22	source mux / panel shift word	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambyte	0x23	codec control shift word	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambyte	0x25	panel/source internal state	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x22.0	ch1 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.1	ch1 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.2	ch1 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.3	ch2 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.4	ch2 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.5	ch2 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.6	derived = !0x25.4 and !0x25.5	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x23.6	MONO latch	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.0	ch1 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.1	ch2 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.2	ch1 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.3	ch2 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x20	previous P3 sample (button edge detect)	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x22	source mux / panel shift word	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambyte	0x23	codec control shift word	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x25	panel/source internal state	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x22.0	ch1 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.1	ch1 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.2	ch1 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.3	ch2 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.4	ch2 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.5	ch2 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.6	derived = !0x25.4 and !0x25.5	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x23.6	MONO latch	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.0	ch1 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.1	ch2 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.2	ch1 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.3	ch2 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	func	0x0DEB	sfr_store_then_acg_48k	decomp/cand/acg_48k_commit.c	explained
rev20	func	0x0E17	acg_incdptr_dctl_div2	decomp/cand/acg_set_both_dctl_10.c	explained
rev20	func	0x0728	audio_clock_mode_apply	decomp/cand/audio_clock_mode_apply.c	explained
rev20	func	0x080B	audio_path_reconfig_ext_chips	decomp/cand/audio_path_reconfig_ext_chips.c	explained
rev20	func	0x0E27	button_a_cycle_3state	decomp/cand/button_a_cycle_3state.c	explained
rev20	func	0x0E9D	button_b_cycle_3state	decomp/cand/button_b_cycle_3state.c	explained
rev20	func	0x0F9C	c51_initseg_table	decomp/cand/c51_initseg_table.c	explained
rev20	func	0x0A09	c51_startup	decomp/cand/c51_startup.c	explained
rev20	func	0x04BC	cmd10_set_cpt_mode5	decomp/cand/cmd10_set_cpt_mode5.c	explained
rev20	func	0x04C4	cmd11_eeprom_selftest	decomp/cand/cmd11_eeprom_selftest.c	explained
rev20	func	0x0511	cmd12_set_cpt_mode1	decomp/cand/cmd12_set_cpt_mode1.c	explained
rev20	func	0x032A	cmd1_apply_clock_mode	decomp/cand/cmd1_apply_clock_mode.c	explained
rev20	func	0x0386	cmd2_apply_iface1_alt	decomp/cand/cmd2_apply_iface1_alt.c	explained
rev20	func	0x03FD	cmd3_apply_iface2_alt	decomp/cand/cmd3_apply_iface2_alt.c	explained
rev20	func	0x0454	cmd4_variantA_reapply_mode	decomp/cand/cmd4_variantA_reapply_mode.c	explained
rev20	func	0x0466	cmd5_variantB_set_mode1	decomp/cand/cmd5_variantB_set_mode1.c	explained
rev20	func	0x0478	cmd6_set_cpt_mode1	decomp/cand/cmd6_set_cpt_mode1.c	explained
rev20	func	0x0480	cmd7_set_cpt_mode2_progchip	decomp/cand/cmd7_set_cpt_mode2_progchip.c	explained
rev20	func	0x049A	cmd8_set_cpt_mode3_progchip	decomp/cand/cmd8_set_cpt_mode3_progchip.c	explained
rev20	func	0x04B4	cmd9_set_cpt_mode4	decomp/cand/cmd9_set_cpt_mode4.c	explained
rev20	func	0x0B6E	code_read_byte_at_srcptr	decomp/cand/code_read_byte_at_srcptr.c	explained
rev20	func	0x0FF4	codec_port_cfg3_commit	decomp/cand/codec_port_cfg3_commit.c	explained
rev20	func	0x0C45	cs8427_ctl_write	decomp/cand/cs8427_ctl_write.c	explained
rev20	func	0x02EE	device_event_dispatch	decomp/cand/device_event_dispatch.c	explained
rev20	func	0x1001	dma0_disable	decomp/cand/dma0_disable.c	explained
rev20	func	0x0B17	dptr_from_ep0_ptr	decomp/cand/dptr_from_ep0_ptr.c	explained
rev20	func	0x0B11	dptr_to_ep0_out_buf	decomp/cand/dptr_to_ep0_out_buf.c	explained
rev20	func	0x0FEA	ep0_arm_zlp	decomp/cand/ep0_arm_zlp.c	explained
rev20	func	0x0B82	ep0_arm_zlp_and_out	decomp/cand/ep0_arm_zlp_and_out.c	explained
rev20	func	0x0B36	ep0_buf_clear_byte	decomp/cand/ep0_buf_clear_byte.c	explained
rev20	func	0x0D6B	ep0_clamp_len_to_wlength	decomp/cand/ep0_clamp_len_to_wlength.c	explained
rev20	func	0x0B50	ep0_clear_stall_both	decomp/cand/ep0_clear_stall_both.c	explained
rev20	func	0x0B1E	ep0_clear_stall_toggle_and_arm	decomp/cand/ep0_clear_stall_toggle_and_arm.c	explained
