hz,amp,fund_db,thd_pct,thd_db,thdn_pct,thdn_db,noise_db,leak_db
20,0.5012,-26.2396,0.003151,-90.0301,0.023203,-72.6892,-142.0168,-105.92
25,0.5012,-26.2246,0.001215,-98.3063,0.023018,-72.7585,-142.0001,-103.93
31,0.5012,-26.2146,0.001345,-97.4242,0.023042,-72.7498,-141.9856,-104.40
40,0.5012,-26.2063,0.001837,-94.7162,0.022989,-72.7698,-142.0097,-115.76
50,0.5012,-26.2013,0.001299,-97.7246,0.023281,-72.6600,-141.8811,-106.21
63,0.5012,-26.1975,0.001327,-97.5417,0.022995,-72.7672,-141.9852,-112.58
80,0.5012,-26.1948,0.001655,-95.6220,0.022856,-72.8200,-142.0503,-105.61
100,0.5012,-26.1926,0.001397,-97.0963,0.022922,-72.7951,-142.0106,-108.78
125,0.5012,-26.1913,0.001295,-97.7551,0.022950,-72.7844,-141.9999,-111.42
160,0.5012,-26.1899,0.001348,-97.4080,0.023147,-72.7102,-141.9267,-108.04
200,0.5012,-26.1889,0.001755,-95.1169,0.022830,-72.8298,-142.0570,-113.83
250,0.5012,-26.1882,0.002168,-93.2779,0.022935,-72.7900,-142.0307,-105.90
315,0.5012,-26.1876,0.001364,-97.3020,0.022850,-72.8221,-142.0362,-113.65
400,0.5012,-26.1867,0.001648,-95.6629,0.023095,-72.7296,-141.9497,-106.99
500,0.5012,-26.1862,0.002252,-92.9485,0.022842,-72.8252,-142.0783,-111.06
630,0.5012,-26.1854,0.001475,-96.6262,0.023011,-72.7613,-141.9722,-107.51
800,0.5012,-26.1842,0.001693,-95.4267,0.022843,-72.8248,-142.0375,-109.76
1000,0.5012,-26.1829,0.001612,-95.8540,0.023031,-72.7536,-141.9747,-100.09
1250,0.5012,-26.1816,0.001380,-97.2048,0.022938,-72.7888,-141.9895,-105.95
1600,0.5012,-26.1811,0.001461,-96.7050,0.023000,-72.7654,-141.9683,-108.20
2000,0.5012,-26.1804,0.001812,-94.8375,0.022963,-72.7793,-141.9924,-104.22
2500,0.5012,-26.1756,0.001633,-95.7393,0.023126,-72.7178,-141.9172,-105.71
3150,0.5012,-26.1688,0.001796,-94.9115,0.022854,-72.8207,-142.0186,-105.97
4000,0.5012,-26.1624,0.002006,-93.9539,0.022657,-72.8960,-142.0959,-118.57
5000,0.5012,-26.1487,0.002097,-93.5669,0.022820,-72.8336,-142.0203,-110.36
6300,0.5012,-26.1317,0.002179,-93.2335,0.022794,-72.8437,-142.0197,-120.54
8000,0.5012,-26.1038,0.001548,-96.2059,0.022519,-72.9491,-142.0782,-113.37
10000,0.5012,-26.0663,0.001826,-94.7717,0.022865,-72.8165,-141.8882,-113.83
12500,0.5012,-26.0197,nan,nan,0.022573,-72.9284,-141.9534,-114.70
16000,0.5012,-25.9637,nan,nan,0.022384,-73.0013,-141.9703,-112.03
18000,0.5012,-25.9370,nan,nan,0.022450,-72.9755,-141.9178,-114.94
20000,0.5012,-25.9195,nan,nan,0.022500,-72.9562,-141.8815,-104.57
