hz,amp,fund_db,thd_pct,thd_db,thdn_pct,thdn_db,noise_db,leak_db
1000,1,-20.1822,0.034860,-69.1535,0.037614,-68.4929,-140.1883,-108.44
1000,0.7079,-23.1825,0.004285,-87.3607,0.016832,-75.4771,-141.9655,-113.69
1000,0.5012,-26.1820,0.002382,-92.4598,0.023162,-72.7045,-141.9485,-101.15
1000,0.3162,-30.1832,0.002201,-93.1469,0.036343,-68.7917,-141.9971,-101.60
1000,0.1778,-35.1839,0.002856,-90.8846,0.064415,-63.8202,-142.0214,-99.17
1000,0.1,-40.1827,0.005971,-84.4798,0.114329,-58.8369,-142.0494,-90.78
1000,0.0562,-45.1880,0.012081,-78.3581,0.205301,-53.7522,-141.9612,-90.91
1000,0.0316,-50.1881,0.013363,-77.4816,0.362874,-48.8049,-142.0215,-83.23
1000,0.0178,-55.1704,0.041617,-67.6145,0.652426,-43.7094,-141.9083,-71.97
1000,0.01,-60.1757,0.080988,-61.8315,1.139313,-38.8671,-142.0731,-68.07
1000,0.00562,-65.1732,0.097281,-60.2394,2.050351,-33.7634,-141.9616,-62.07
1000,0.00316,-70.1587,0.282071,-50.9928,3.625040,-28.8137,-142.0190,-55.39
1000,0.001,-80.1150,0.528920,-45.5322,11.346668,-18.9026,-142.0438,-46.88
